"deslearn","expertise","gamepart"
"1",3.2750934530086,1.56923717592021,6.0088754388119
"2",6.8694740498989,4.28177010770362,5.99013803199118
"3",2.88444661603867,0.694850270160364,5.202787223654
"4",-0.956984386282431,-1.29692883292463,-0.498504013678334
"5",-0.585454361579985,-1.29106292807923,1.90863795482807
"6",2.39098522563424,0.603328391877433,3.39103639667008
"7",1.67971798638161,-1.13489154609262,2.78922259474765
"8",8.59058689630321,12.4010821498589,3.92474105558007
"9",1.4956839303077,0.0743886846742976,2.79838477784032
"10",1.40792903187779,-0.119564866049666,3.75395061098912
"11",-1.15827609039209,-1.23005599670353,-0.512384720711745
"12",5.7925715629389,4.25039670441281,5.5944479379347
"13",-0.16433790025596,9.08476166567964,-3.232855907166
"14",-1.35592351384247,-1.13678953268414,-1.34159450712919
"15",-1.25362111199449,-1.25496877058643,-1.69555206780373
"16",2.95633950577634,4.9317960548709,3.5291414105856
"17",0.712940642074306,0.613778299134497,0.00879984516553167
"18",-1.37597194613012,-1.20187993554666,-1.47015371020404
"19",-0.647272887036732,-1.26611257327308,2.45572425485656
"20",-1.24305447979307,-0.938022201420856,-1.20430667266914
"21",0.722727599635249,-0.917818250626425,3.84356524707941
"22",-0.828113459135719,-1.24178903883468,0.865012835451825
"23",-1.16010289405662,-1.01952766368891,-1.29086791346359
"24",4.60134007111338,8.55097660652022,1.97296826848196
"25",-1.00706154295368,-0.354934141995207,-1.52926318890427
"26",-1.21616921428335,-1.2438759046937,-1.41845921800748
"27",-1.15914804601309,-1.28596718800592,-1.08851914233105
"28",-1.27990518140421,-1.23567396391124,-1.56491395209341
"29",-1.41484914750797,-1.23122160854894,-2.56894996824436
"30",-1.12157386142982,-1.2477606089277,-0.466928385208931
"31",-1.2504728051356,-1.0306071806252,-2.44026649499026
"32",-1.20632862553198,-1.20315923443831,-0.246589277473729
"33",-1.46525409696673,-1.18718583821043,-1.96082614741898
"34",0.894693922895339,-1.10557542121444,0.702202769781109
"35",-1.35909426317345,-1.28209524960877,-2.86383255981724
"36",-0.99778537845454,-1.12272927060759,-0.690293027793861
"37",-0.975405824238414,-1.28403179828153,-0.193097741436268
"38",-1.0042743763345,-0.914669313896051,-0.377198437189656
"39",-0.88091930357735,-0.99849666568686,-0.0435167518454597
"40",-0.649087898479773,-1.29881841420055,1.80574300699849
"41",-1.08391446773957,-1.23152932101802,-0.818165784163951
"42",-0.536579374024727,-1.2754121510988,2.9941586573385
"43",-0.73189308694,-1.28077923927626,1.32012522719133
"44",-1.14332810228401,-1.29491343805928,-1.75374531403972
"45",-1.34378938533679,-1.22892245587261,-1.83635546440478
"46",-1.02559415349287,-1.22324727934958,0.411903619824869
"47",3.67576108834058,-1.01332562440665,5.02424430021345
"48",1.95589638314316,-1.1412114765417,1.9904279831316
"49",3.77694910650483,9.30316449349089,3.2372303614477
"50",-1.12933301947542,-0.999168334597283,-0.940607288897498
"51",3.02995787633349,1.58542164396912,3.10356837822746
"52",-1.15432372893489,-1.21458398314657,0.276490861748519
"53",3.98297736619251,-0.0240214071813118,2.28575963167637
"54",-1.29974513878526,-1.24005061824316,-1.85703645041461
"55",-0.972244150556428,-0.955175227636318,-0.867064871591163
"56",-1.09964013512139,-1.20157098900217,0.29465258630652
"57",-1.14406092406992,-1.2095555870747,-1.35552183616588
"58",6.23753077156152,0.186248120131912,3.77772095030179
"59",-0.654850070211884,-1.1738308384719,2.08878658578355
"60",-1.38467985921309,-1.234226199773,-2.29007502974466
"61",-0.76656267107551,-1.25816375583568,1.84281461794881
"62",-1.355408703082,-1.16969860489095,-0.205818140978348
"63",-0.0479283513133504,9.81667767057669,1.02184249805738
"64",-0.481807466297204,-1.27810809946528,2.9277754426858
"65",9.32749191313115,1.91952840771314,6.48523703751796
"66",0.527959145728483,-0.187113647448081,2.19939698905325
"67",3.13082243401941,-0.994416500469713,3.77899915289109
"68",-0.507028799813956,2.22082801083433,-0.974560647032195
"69",10.6672007378998,7.09635783899471,5.26651825706628
"70",-0.52567625954835,-1.29243149435191,2.84183734274604
"71",-0.939160913078376,-1.32662083542357,-0.873574366602097
"72",1.41289398310272,2.25775262480261,3.55729371353984
"73",-0.727339260038968,-1.25436440098809,2.19626694545453
"74",-0.795621922102509,-1.13239095737165,0.563120534796132
"75",-1.38205397547895,-1.07458329018597,-2.09642092214027
"76",-1.19230605635766,-0.833786205392426,-2.42305515441757
"77",-1.35250874415095,-1.23409249119768,-2.22693722990611
"78",-1.14723635887859,-1.24471979720835,-1.54258122985403
"79",-1.12656584012165,-1.00896532556556,-1.31483495350191
"80",-1.47208830437107,-1.2285007959697,-1.84435225494534
"81",-1.36794157239408,-1.22364932221414,-2.4150815593594
"82",-1.16273968118432,-1.15365351167919,-0.486900596922607
"83",-1.28928536500669,-1.26871641481055,-2.81230115592103
"84",3.75514054989277,5.72719081076015,5.70613135374943
"85",1.96050897925429,5.66523737204738,0.374120286613682
"86",-1.20916706179053,-1.30465979045848,-1.99172877230345
"87",-1.2764093203414,-1.24646599450934,-2.06732418564947
"88",-1.19436967912838,-1.1748896648277,0.535392995386054
"89",-1.36810428260607,-1.22330595257575,-2.13175571947855
"90",-1.35641925897145,-1.25461400744227,-2.65000726679324
"91",1.74300103507993,-0.792356914784034,2.81547105606811
"92",-1.24253526618062,-1.22420948589954,-1.13621631681858
"93",-1.3544579400029,-1.27255301157514,-2.61660363458282
"94",-1.34180960132493,-1.29664260245276,-2.43836462377212
"95",-1.30087131076233,-1.2510742372752,-2.34004887952214
