"","lrn_lang","lrn_skills","ln_chsolv","meetups","chat_handle","ID1","ID2","HC1","HC2","HC3","JS1","JS2","JS4","KS1","KS2","KS3","ln_age","isman","ln_tenure"
"lrn_lang",7.89375785504818,7.22748219522413,2.14224379964635,4.95345622119816,0.676330121491412,1.01089233347298,1.19300377042313,0.765144532886468,0.714997905320486,0.461206535400084,0.147339757017176,0.159530791788856,0.188730624214495,0.24574780058651,0.300041893590281,0.0126518642647675,0.056568740747468,0.155760368663594,0.238357142025251
"lrn_skills",7.22748219522413,12.2609970674487,2.16018803643412,5.60515291160452,0.500837871805614,1.00041893590281,1.16191872643486,0.611646418098031,0.819857561793046,0.573732718894009,0.48533724340176,0.0506912442396313,0.612903225806452,0.0640971931294512,0.213238374528697,0.0148722245496439,0.0341707160785648,-0.00439882697947214,0.371578441205809
"ln_chsolv",2.14224379964635,2.16018803643412,2.35054949056112,2.99158186368783,0.413974051308804,0.556382058073828,0.66115719881103,0.415813321210669,0.578362260308447,0.388686903806918,-0.0704665000541106,-0.0219550727174201,0.0193077280663847,-0.0370953687998187,-0.215812370795573,-0.104842814180474,0.00373780628237863,0.0624020592518581,0.388430894970027
"meetups",4.95345622119816,5.60515291160452,2.99158186368783,13.5908671973188,0.934604105571847,2.14976958525346,1.83984080435693,1.46749057394219,1.6731043150398,1.48152492668622,-0.388688730624214,-0.633724340175953,0.125890238793465,-0.668370339338081,-0.342605781315459,-0.339673229995811,0.173744405328942,-0.0979053204859656,1.26099001888339
"chat_handle",0.676330121491412,0.500837871805614,0.413974051308804,0.934604105571847,0.222203602848764,0.173439463762044,0.205781315458735,0.122915793883536,0.150900712191035,0.101968998743192,0.00364474235441977,0.0290322580645161,0.03414327607876,0.0115626309174696,0.0235441977377461,-0.0351068286552157,0.0186624515419205,0.0269375785504818,0.104005281288543
"ID1",1.01089233347298,1.00041893590281,0.556382058073828,2.14976958525346,0.173439463762044,2.39840804356933,1.82237117720989,1.28613322161709,1.24947633012149,1.1587767071638,0.386887306242145,0.0969836614997905,0.273565144532886,0.255131964809384,0.419564306661081,0.136992040217847,0.022125934530114,-0.0209467951403435,0.173757869150486
"ID2",1.19300377042313,1.16191872643486,0.66115719881103,1.83984080435693,0.205781315458735,1.82237117720989,2.2633431085044,1.35282781734395,1.31026392961877,1.25940511101801,0.289736070381232,0.154964390448261,0.271889400921659,0.268244658567239,0.549266862170088,0.214956011730205,-0.0220502913356962,-0.0842480100544617,-0.021071598402604
"HC1",0.765144532886468,0.611646418098031,0.415813321210669,1.46749057394219,0.122915793883536,1.28613322161709,1.35282781734395,2.17528278173439,1.83544197737746,1.88412232928362,0.578843736908253,0.340301633850021,0.424591537494763,0.117343946376204,0.209342270632593,0.0174696271470465,-0.0152836402793143,-0.0394637620444072,-0.129627047613035
"HC2",0.714997905320486,0.819857561793046,0.578362260308447,1.6731043150398,0.150900712191035,1.24947633012149,1.31026392961877,1.83544197737746,2.23946376204441,1.92991202346041,0.639757017176372,0.289233347297863,0.444909928780897,0.186761625471303,0.3548806032677,0.166149979053205,0.0136555193090234,-0.0461248428990364,-0.0755595185511782
"HC3",0.461206535400084,0.573732718894009,0.388686903806918,1.48152492668622,0.101968998743192,1.1587767071638,1.25940511101801,1.88412232928362,1.92991202346041,2.22262253875157,0.425932132383745,0.183410138248848,0.296816087138668,-0.0565144532886468,0.131629660661919,-0.0686217008797654,-0.0028223903182132,-0.0593632174277336,-0.125057902865995
"JS1",0.147339757017176,0.48533724340176,-0.0704665000541106,-0.388688730624214,0.00364474235441977,0.386887306242145,0.289736070381232,0.578843736908253,0.639757017176372,0.425932132383745,2.4342689568496,1.25362379555928,1.19145370758274,0.444407205697528,0.498366149979053,0.329953917050691,0.0148363683732187,0.0370339338081274,-0.020491727434868
"JS2",0.159530791788856,0.0506912442396313,-0.0219550727174201,-0.633724340175953,0.0290322580645161,0.0969836614997905,0.154964390448261,0.340301633850021,0.289233347297863,0.183410138248848,1.25362379555928,2.03502304147465,0.984499371596146,0.568370339338081,0.512735651445329,0.366945957268538,-0.0139093064944481,0.116087138667784,-0.204107851822238
"JS4",0.188730624214495,0.612903225806452,0.0193077280663847,0.125890238793465,0.03414327607876,0.273565144532886,0.271889400921659,0.424591537494763,0.444909928780897,0.296816087138668,1.19145370758274,0.984499371596146,1.60242982823628,0.20611646418098,0.296606619187264,0.19208211143695,-0.0158418322343328,0.0301633850020947,-0.120148933749911
"KS1",0.24574780058651,0.0640971931294512,-0.0370953687998187,-0.668370339338081,0.0115626309174696,0.255131964809384,0.268244658567239,0.117343946376204,0.186761625471303,-0.0565144532886468,0.444407205697528,0.568370339338081,0.20611646418098,2.00142438206954,1.71671554252199,1.35328864683703,-0.0257582220455654,0.0250104733975702,-0.140523099094683
"KS2",0.300041893590281,0.213238374528697,-0.215812370795573,-0.342605781315459,0.0235441977377461,0.419564306661081,0.549266862170088,0.209342270632593,0.3548806032677,0.131629660661919,0.498366149979053,0.512735651445329,0.296606619187264,1.71671554252199,2.27381650607457,1.40557184750733,-0.0195624551786766,-0.0268537913699204,-0.161640712906885
"KS3",0.0126518642647675,0.0148722245496439,-0.104842814180474,-0.339673229995811,-0.0351068286552157,0.136992040217847,0.214956011730205,0.0174696271470465,0.166149979053205,-0.0686217008797654,0.329953917050691,0.366945957268538,0.19208211143695,1.35328864683703,1.40557184750733,1.53984080435693,-0.0232780793062625,-0.0111436950146628,-0.13226168729065
